ticker,name,module,durability,label,source,coverage,margin_of_safety,Excess return level,Persistence of excess return,Trend in excess return,Operating margin stability,Gross profitability,Revenue growth vs sector
EME,"EMCOR Group, Inc.",industrials,84.0,wide,computed,100/100,0.33,"16/25 — median ROIC 24.0%, +14.0% vs 10%",25/25 — 10/10 years above 10%,15/15 — +4.24 ROIC points per year,8/10 — std dev 2.2%,5/10 — median GP/assets 29.0%,15/15 — 9.7% vs sector median 4.8% (+4.9%)
DKS,"DICK'S SPORTING GOODS, INC.",consumer,83.0,wide,computed,100/100,0.33,"10/25 — median ROIC 19.5%, +9.5% vs 10%",25/25 — 9/9 years above 10%,15/15 — +8.85 ROIC points per year,8/10 — std dev 3.7%,10/10 — median GP/assets 48.2%,15/15 — 9.0% vs sector median 5.2% (+3.8%)
FIVE,"FIVE BELOW, INC",consumer,83.0,wide,computed,100/100,0.33,"25/25 — median ROIC 30.8%, +20.8% vs 10%",25/25 — 10/10 years above 10%,0/15 — -2.82 ROIC points per year,10/10 — std dev 1.7%,8/10 — median GP/assets 34.6%,15/15 — 19.1% vs sector median 5.2% (+13.8%)
DXCM,DEXCOM INC,healthcare,81.0,wide,computed,100/100,0.34,"25/25 — median ROIC 31.0%, +21.0% vs 10%",18/25 — 7/8 years above 10%,15/15 — +5.49 ROIC points per year,0/10 — std dev 12.5%,8/10 — median GP/assets 37.1%,15/15 — 27.8% vs sector median 10.3% (+17.5%)
FIX,COMFORT SYSTEMS USA INC,industrials,81.0,wide,computed,100/100,0.34,"10/25 — median ROIC 17.9%, +7.9% vs 10%",25/25 — 10/10 years above 10%,15/15 — +4.28 ROIC points per year,8/10 — std dev 2.6%,8/10 — median GP/assets 32.3%,15/15 — 19.1% vs sector median 4.8% (+14.3%)
HD,"HOME DEPOT, INC.",consumer,81.0,wide,computed,100/100,0.34,"25/25 — median ROIC 45.9%, +35.9% vs 10%",25/25 — 8/8 years above 10%,0/15 — -40.32 ROIC points per year,10/10 — std dev 0.7%,10/10 — median GP/assets 69.9%,11/15 — 6.4% vs sector median 5.2% (+1.2%)
SSD,"Simpson Manufacturing Co., Inc.",industrials,81.0,wide,computed,100/100,0.34,"10/25 — median ROIC 19.4%, +9.4% vs 10%",25/25 — 10/10 years above 10%,13/15 — +0.46 ROIC points per year,8/10 — std dev 2.9%,10/10 — median GP/assets 42.3%,15/15 — 11.4% vs sector median 4.8% (+6.6%)
UI,Ubiquiti Inc.,software,80.0,wide,computed,100/100,0.34,"25/25 — median ROIC 68.3%, +58.3% vs 10%",25/25 — 10/10 years above 10%,0/15 — -2.02 ROIC points per year,5/10 — std dev 4.2%,10/10 — median GP/assets 66.4%,15/15 — 17.3% vs sector median 7.1% (+10.1%)
FSS,FEDERAL SIGNAL CORP /DE/,industrials,78.0,wide,computed,100/100,0.34,"10/25 — median ROIC 16.0%, +6.0% vs 10%",25/25 — 10/10 years above 10%,15/15 — +0.90 ROIC points per year,8/10 — std dev 2.3%,5/10 — median GP/assets 27.0%,15/15 — 11.0% vs sector median 4.8% (+6.2%)
ISRG,INTUITIVE SURGICAL INC,healthcare,78.0,wide,computed,100/100,0.34,"16/25 — median ROIC 21.6%, +11.6% vs 10%",25/25 — 10/10 years above 10%,6/15 — -0.67 ROIC points per year,8/10 — std dev 3.7%,8/10 — median GP/assets 31.3%,15/15 — 15.5% vs sector median 10.3% (+5.2%)
YUMC,"Yum China Holdings, Inc.",consumer,78.0,wide,computed,100/100,0.34,"25/25 — median ROIC 30.3%, +20.3% vs 10%",25/25 — 10/10 years above 10%,0/15 — -2.37 ROIC points per year,10/10 — std dev 1.8%,10/10 — median GP/assets 42.3%,8/15 — 5.5% vs sector median 5.2% (+0.2%)
CDNS,CADENCE DESIGN SYSTEMS INC,software,77.8,wide,computed,90/100,0.34,"25/25 — median ROIC 46.9%, +36.9% vs 10%",25/25 — 10/10 years above 10%,0/15 — -2.06 ROIC points per year,5/10 — std dev 5.8%,n/a — cost of revenue not reported,15/15 — 12.0% vs sector median 7.1% (+4.9%)
MCO,MOODYS CORP /DE/,consumer,77.0,wide,computed,100/100,0.35,"21/25 — median ROIC 27.7%, +17.7% vs 10%",25/25 — 9/9 years above 10%,6/15 — -0.85 ROIC points per year,2/10 — std dev 7.7%,8/10 — median GP/assets 33.2%,15/15 — 8.3% vs sector median 5.2% (+3.0%)
RMD,RESMED INC,healthcare,77.0,wide,computed,100/100,0.35,"10/25 — median ROIC 18.6%, +8.6% vs 10%",25/25 — 10/10 years above 10%,15/15 — +1.15 ROIC points per year,8/10 — std dev 4.0%,8/10 — median GP/assets 38.0%,11/15 — 11.9% vs sector median 10.3% (+1.6%)
TJX,TJX COMPANIES INC /DE/,consumer,77.0,wide,computed,100/100,0.35,"25/25 — median ROIC 77.6%, +67.6% vs 10%",11/25 — 7/9 years above 10%,15/15 — +8.74 ROIC points per year,5/10 — std dev 5.4%,10/10 — median GP/assets 74.7%,11/15 — 6.9% vs sector median 5.2% (+1.7%)
IDXX,IDEXX LABORATORIES INC /DE,healthcare,76.0,wide,computed,100/100,0.35,"25/25 — median ROIC 56.8%, +46.8% vs 10%",25/25 — 10/10 years above 10%,0/15 — -3.25 ROIC points per year,8/10 — std dev 3.9%,10/10 — median GP/assets 72.6%,8/15 — 10.4% vs sector median 10.3% (+0.1%)
CORT,CORCEPT THERAPEUTICS INC,healthcare,75.0,wide,computed,100/100,0.35,"25/25 — median ROIC 39.0%, +29.0% vs 10%",25/25 — 10/10 years above 10%,0/15 — -8.43 ROIC points per year,0/10 — std dev 10.3%,10/10 — median GP/assets 77.8%,15/15 — 31.2% vs sector median 10.3% (+20.9%)
REGN,"REGENERON PHARMACEUTICALS, INC.",healthcare,75.0,wide,computed,100/100,0.35,"21/25 — median ROIC 25.2%, +15.2% vs 10%",25/25 — 10/10 years above 10%,2/15 — -1.58 ROIC points per year,2/10 — std dev 9.5%,10/10 — median GP/assets 53.3%,15/15 — 13.3% vs sector median 10.3% (+3.0%)
DCI,DONALDSON Co INC,industrials,74.0,wide,computed,100/100,0.35,"16/25 — median ROIC 20.5%, +10.5% vs 10%",25/25 — 10/10 years above 10%,10/15 — -0.07 ROIC points per year,10/10 — std dev 0.7%,10/10 — median GP/assets 42.1%,3/15 — 4.5% vs sector median 4.8% (-0.3%)
LECO,LINCOLN ELECTRIC HOLDINGS INC,industrials,72.0,wide,computed,100/100,0.36,"21/25 — median ROIC 26.6%, +16.6% vs 10%",25/25 — 10/10 years above 10%,0/15 — -3.53 ROIC points per year,8/10 — std dev 2.1%,10/10 — median GP/assets 40.9%,8/15 — 5.3% vs sector median 4.8% (+0.5%)
TOL,"Toll Brothers, Inc.",industrials,72.0,wide,computed,100/100,0.36,"10/25 — median ROIC 18.0%, +8.0% vs 10%",22/25 — 9/10 years above 10%,15/15 — +1.50 ROIC points per year,8/10 — std dev 3.5%,2/10 — median GP/assets 16.8%,15/15 — 8.3% vs sector median 4.8% (+3.5%)
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",industrials,71.0,wide,computed,100/100,0.36,"16/25 — median ROIC 23.4%, +13.4% vs 10%",25/25 — 10/10 years above 10%,10/15 — -0.34 ROIC points per year,10/10 — std dev 0.9%,10/10 — median GP/assets 321.2%,0/15 — 1.9% vs sector median 4.8% (-2.9%)
LII,LENNOX INTERNATIONAL INC,industrials,71.0,wide,computed,100/100,0.36,"25/25 — median ROIC 173.3%, +163.3% vs 10%",25/25 — 8/8 years above 10%,0/15 — -108.94 ROIC points per year,8/10 — std dev 2.7%,10/10 — median GP/assets 52.9%,3/15 — 4.1% vs sector median 4.8% (-0.7%)
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,industrials,69.0,narrow,computed,100/100,0.36,"10/25 — median ROIC 16.0%, +6.0% vs 10%",11/25 — 7/10 years above 10%,15/15 — +1.42 ROIC points per year,8/10 — std dev 2.6%,10/10 — median GP/assets 44.3%,15/15 — 72.3% vs sector median 4.8% (+67.5%)
ITT,ITT INC.,industrials,67.0,narrow,computed,100/100,0.37,"16/25 — median ROIC 20.7%, +10.7% vs 10%",25/25 — 10/10 years above 10%,10/15 — -0.24 ROIC points per year,8/10 — std dev 2.9%,5/10 — median GP/assets 22.6%,3/15 — 4.7% vs sector median 4.8% (-0.1%)
WTS,WATTS WATER TECHNOLOGIES INC,industrials,64.0,narrow,computed,100/100,0.37,"5/25 — median ROIC 14.5%, +4.5% vs 10%",18/25 — 8/10 years above 10%,15/15 — +1.36 ROIC points per year,8/10 — std dev 2.8%,10/10 — median GP/assets 40.5%,8/15 — 5.2% vs sector median 4.8% (+0.4%)
EW,Edwards Lifesciences Corp,healthcare,61.0,narrow,computed,100/100,0.38,"16/25 — median ROIC 24.2%, +14.2% vs 10%",25/25 — 10/10 years above 10%,2/15 — -1.01 ROIC points per year,5/10 — std dev 4.7%,10/10 — median GP/assets 45.4%,3/15 — 9.3% vs sector median 10.3% (-1.0%)
ELV,"Elevance Health, Inc.",financials,53.0,narrow,computed,100/100,0.39,"0/25 — median ROIC 9.8%, -0.2% vs 10%",5/25 — 4/10 years above 10%,13/15 — +0.19 ROIC points per year,10/10 — std dev 0.7%,10/10 — median GP/assets 132.0%,15/15 — 9.7% vs sector median 4.7% (+4.9%)
GL,GLOBE LIFE INC.,financials,47.8,narrow,computed,90/100,0.40,"5/25 — median ROIC 10.3%, +0.3% vs 10%",5/25 — 5/10 years above 10%,15/15 — +1.24 ROIC points per year,10/10 — std dev 1.6%,n/a — cost of revenue not reported,8/15 — 4.8% vs sector median 4.7% (+0.0%)
THG,"HANOVER INSURANCE GROUP, INC.",financials,46.7,narrow,computed,90/100,0.41,"5/25 — median ROIC 11.7%, +1.7% vs 10%",11/25 — 7/10 years above 10%,15/15 — +0.93 ROIC points per year,8/10 — std dev 3.3%,n/a — cost of revenue not reported,3/15 — 2.7% vs sector median 4.7% (-2.0%)
